name,wikidata_id,label,score
1734313 ontario inc .,,,
2018 trust,,,
50 percent or less own company,,,
aapl,Q312,Apple Inc.,100.0
ab bre,,,
ab entity,,,
ab trust,,,
abbott,Q306764,Abbott Laboratories,100.0
abbott ireland financing dac,,,
abbv,Q14662364,AbbVie,100.0
abinbev,Q128738,Anheuser-Busch InBev,100.0
abt,,,
ac,,,
accenture canada holding,,,
accenture canada holding inc .,,,
accenture holding,,,
accenture holding plc,,,
accenture international s.à.r.l .,,,
accenture leadership,,,
accenture ltd,,,
accenture plc,Q338825,Accenture,100.0
accenture sca,,,
acn,Q288573,ACN Inc.,100.0
acquire business,,,
adbe,Q11463,Adobe,100.0
aebfsb,,,
aenb,,,
affiliate b,,,
affiliate company,,,
affiliated co .,,,
agdc,,,
aglcapital corporation,,,
air manufacture innovation,,,
alabama power,Q4705296,Alabama Power,100.0
alabama power company,Q4705296,Alabama Power,100.0
allergan sale llc,,,
alphabet,Q20800404,Alphabet Inc.,100.0
alphabet inc .,Q20800404,Alphabet Inc.,100.0
altalink,,,
altria,Q445007,Altria,100.0
altria client service llc,,,
altria group,Q445007,Altria,100.0
"altria group , inc .",Q445007,Altria,100.0
amat,,,
amd,,,
american express bank,Q194360,American Express,100.0
"american express bank , fsb",,,
american express centurion bank,,,
american express charge trust ii,,,
american express company,Q194360,American Express,100.0
american express credit account master trust,,,
american express credit corporation,,,
american express foundation,,,
american express lending trust,,,
american express national bank,,,
"american express travel relate service company , inc .",,,
american for carbon dividend,,,
american tower foundation,,,
"american tower international , inc .",,,
american tower llc,,,
"amex bank , fsb",,,
amex centurion bank,,,
amex charge trust ii,,,
amex co .,Q194360,American Express,92.0
amex credit corp,,,
amex credit corp .,,,
amex lending trust,,,
amex national bank,,,
amex travel service,,,
amgen manufacturing,,,
"amgen manufacturing , limit",,,
"amgen manufacturing , ltd .",,,
amgn,Q470517,Amgen,100.0
amt asset,,,
amt asset sub,,,
amt south africa subsidiary,,,
amt subsidiary,,,
amtasset sub,,,
amzn,Q3884,Amazon,100.0
antinori,,,
apex trust,,,
arcus board,,,
aspentech,,,
asset and liability committee,,,
asset and liability management committee,,,
asset-liability management and pricing committee,,,
at finance,,,
atairos group,,,
atairos group holding,,,
atairos management llc,,,
atairos partner llc,,,
atc brazil,,,
atc europe,,,
atc europe b.v .,,,
atc sitios,,,
atc telecom infrastructure private limit,,,
atlanta gas light,,,
atlanta gas light company,,,
atripla marketing llc,,,
audit & finance committee,,,
avgo,,,
awe management limit,,,
axp,Q194360,American Express,100.0
"axp bank , fsb",,,
axp centurion bank,,,
axp charge trust ii,,,
axp credit corp,,,
axp lending trust,,,
ba,,,
bac,,,
bac capital trust xv,,,
bana,,,
banamex,,,
bank legal entity,,,
bank of america,,,
"bank of america , n.a .",,,
"bank of america , national association",,,
bank of america europe designate activity company,,,
bank of new york mellon,Q589288,The Bank of New York Mellon,100.0
bank or saving association,,,
bankamericanational trust company,,,
bankruptcy-remote subsidiary,,,
bciu,,,
bctwgm pension fund,,,
benefit plan committee,,,
berkshire hathaway inc .,Q217583,Berkshire Hathaway,100.0
bhcs,,,
bhe,,,
blackrock execution service,,,
blackrock finance,,,
blackrock life limit,,,
blk,Q219635,BlackRock,100.0
bmy,,,
board of trade of the city of chicago,,,
bod,,,
borrow subsidiary,,,
brazil subsidiary,,,
brc,,,
brcm,,,
bril,,,
bristol myers squibb patient assistance foundation,,,
"bristol-myers squibb & gilead science , llc",,,
british retail consortium,,,
brk.a,,,
brk20,,,
brk21,,,
brk23,,,
brk23a,,,
brk24,,,
brk27,,,
brk28,,,
brk35,,,
brk39,,,
brk59,,,
broadcom cayman,,,
broadcom singapore,,,
broadcom-singapore,,,
broker,,,
broker-dealer,,,
broker-dealer entity,,,
broker-dealer sub .,,,
btc,Q140169811,Baltic Technology Company,100.0
bti,,,
"buffalo c merger sub , inc .",,,
"buffalo ut merger sub , inc .",,,
burger söhne hold,,,
burlington resource,,,
burlington resource llc,,,
business,,,
business security and resiliency committee,,,
