genus_1,genus_2,genus_1_normalized,genus_2_normalized,edit_similarity,jaccard_similarity,llm_relationship
a bell-shaped distribution curve,a benchmark interest rate,bell shaped distribution curve,benchmark interest rate,0.3,0.0,DIFFERENT
a bell-shaped distribution curve,a bond,bell shaped distribution curve,bond,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,a chart,bell shaped distribution curve,chart,0.1333,0.0,A_SUBSUMES_B
a bell-shaped distribution curve,a closely held corporation,bell shaped distribution curve,closely held corporation,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,a collection of financial investments,bell shaped distribution curve,collection of financial investment,0.2059,0.0,DIFFERENT
a bell-shaped distribution curve,"a common set of accounting principles, standards, and procedures",bell shaped distribution curve,common set of accounting principles standards and procedure,0.2034,0.0,DIFFERENT
a bell-shaped distribution curve,a common type of unsecured bond,bell shaped distribution curve,common type of unsecured bond,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,a company,bell shaped distribution curve,company,0.0667,0.0,DIFFERENT
a bell-shaped distribution curve,a company’s total debt,bell shaped distribution curve,companys total debt,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a continuous probability distribution,bell shaped distribution curve,continuous probability distribution,0.2571,0.1667,B_SUBSUMES_A
a bell-shaped distribution curve,a contractual agreement between two parties,bell shaped distribution curve,contractual agreement between two party,0.1795,0.0,DIFFERENT
a bell-shaped distribution curve,a corporation,bell shaped distribution curve,corporation,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a cost,bell shaped distribution curve,cost,0.0667,0.0,DIFFERENT
a bell-shaped distribution curve,a document,bell shaped distribution curve,document,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,a feature of certain bonds or other fixed-income instruments,bell shaped distribution curve,feature of certain bonds or other fixed income instrument,0.2281,0.0,DIFFERENT
a bell-shaped distribution curve,a financial ratio,bell shaped distribution curve,financial ratio,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a financial statement,bell shaped distribution curve,financial statement,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a for-profit organization,bell shaped distribution curve,for profit organization,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,a forecast for the dependent variable,bell shaped distribution curve,forecast for the dependent variable,0.1714,0.0,DIFFERENT
a bell-shaped distribution curve,a form of business,bell shaped distribution curve,form of business,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a form of corporate entity,bell shaped distribution curve,form of corporate entity,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a formal arrangement,bell shaped distribution curve,formal arrangement,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a general increase,bell shaped distribution curve,general increase,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a graphic representation of a general ledger account,bell shaped distribution curve,graphic representation of a general ledger account,0.14,0.0,DIFFERENT
a bell-shaped distribution curve,a graphical display,bell shaped distribution curve,graphical display,0.1667,0.0,B_SUBSUMES_A
a bell-shaped distribution curve,a group of people,bell shaped distribution curve,group of people,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a group within the United States Department of Labor,bell shaped distribution curve,group within the united states department of labor,0.22,0.0,DIFFERENT
