mention_id,quarter,concept_id,concept_label,raw_label,scope,direction,materiality,duration,externality,obviousness,quote,speaker,speaker_role,section,rationale
M001,FY24Q1,C01,Foreign exchange (FX) translation effects,FX/currency headwind on reported growth,Company-wide,headwind,mild,medium,true,high,"Adobe achieved record revenue of $5.18 billion, which represents 11% year-over-year growth, or 12% in constant currency.",Daniel J. Durn,CFO,prepared_remarks,The consistent ~1-point gap between reported and constant-currency growth across segments quantifies a real but modest FX drag that is external to the company and typically persists over several quarters.
M002,FY24Q1,C10,Firefly / Creative GenAI monetization & ARR growth,"GenAI monetization tailwind (Firefly, GenStudio, AI Assistant)",Creative Cloud; Document Cloud/Acrobat; Digital Experience; Firefly/GenAI,tailwind,high,long,false,medium,"We're driving strong usage, value and demand for our AI solutions across all customer segments, and we're successfully monetizing our innovations with particular strength in Q1 in the enterprise segment across our Digital Media and Digital Experience businesses.",Shantanu Narayen,CEO,prepared_remarks,"Management repeatedly ties AI/GenAI monetization (Firefly, GenStudio, AI Assistant) to accelerating ARR across nearly every business line, framing it as the central multi-year growth driver, though actual monetization is still early/unproven at scale."
M003,FY24Q1,C10,Firefly / Creative GenAI monetization & ARR growth,Prior pricing actions rolling off (2H ARR tailwind),Creative Cloud; Document Cloud/Acrobat,tailwind,medium,short,false,medium,"Both of those are rolling off as we have now introduced the new pricing for CC with Firefly. And overall, the roll-off of the prior pricing is more significant than the new pricing that we've introduced.",David Wadhwani,executive,qa,"The lapping of the FY22 Acrobat and Creative Cloud price increases removes a prior-year comp drag, which management explicitly cites as a driver of expected second-half ARR acceleration; effect is transitory (anniversary-based)."
M004,FY24Q1,C05,"Creative Cloud pricing & packaging (Pro tier, value-based pricing)",Pricing-driven headwind to normalized Creative ARR growth,Creative Cloud,headwind,medium,short,false,medium,"Obviously, you guys called out that new Creative ARR was up more than 20% year-over-year when you exclude the pricing increases, which infers a pretty major pricing headwind that we're seeing right now.",Kirk Materne,analyst,qa,"An analyst flags that excluding prior pricing actions from the comp base implies underlying (ex-pricing) ARR growth is meaningfully lower than the headline figure, a comp effect management does not dispute directly."
M005,FY24Q1,C13,Figma termination payment,Figma termination payment (GAAP EPS/tax headwind),Company-wide,headwind,high,short,false,high,"GAAP EPS came in lower due to the billion-dollar payment resulting from the termination of the Figma transaction. Absent the Termination Payment, our cash flows from operations would have been $1 billion more, and GAAP EPS would have been $2.19 higher.",Daniel J. Durn,CFO,prepared_remarks,"This is a quantified, one-time cash/EPS/tax-rate hit tied to a specific corporate action, materially affecting GAAP results for FY24 but not recurring beyond the year."
M006,FY24Q1,C02,Macroeconomic uncertainty & cyclicality,Macroeconomic environment uncertainty,Company-wide,headwind,mild,medium,true,low,"In light of the momentum across our business and factoring in the macroeconomic environment, for Q2 we are targeting: total Adobe revenue of $5.25 billion to $5.30 billion...",Daniel J. Durn,CFO,prepared_remarks,"The CFO references the macro backdrop as a factor shaping guidance, but gives no elaboration or quantification, so it is a real but vaguely-evidenced consideration."
M007,FY24Q1,C11,GenStudio / AEP enterprise AI-driven growth (Digital Experience),Enterprise deal strength / large transformational deals,Digital Experience; Document Cloud/Acrobat; Creative Cloud,tailwind,high,medium,false,high,"Q1 was a tremendous start to the year for our Experience Cloud business, with growth drivers including: Success closing transformational deals across geographies and verticals with large enterprises that are choosing Adobe to be their end-to-end Customer Experience Management Platform; continued momentum with AEP and native applications, with the annualized book of business growing more than 60% year-over-year.",Daniel J. Durn,CFO,prepared_remarks,"Quantified 60%+ book-of-business growth and record RPO growth (16% YoY) support that enterprise deal momentum is a strong, broad-based tailwind, though large-deal timing can vary quarter to quarter."
M008,FY24Q1,C06,Freemium/MAU-first strategy trade-off (dampens near-term ARR),Acrobat Web/Reader funnel and browser distribution partnerships,Document Cloud/Acrobat,tailwind,medium,medium,both,high,Acrobat Web continues to be an incredible source of customer acquisition with monthly active users up over 70% year-over-year and surpassing 100 million users in Q1. Acrobat extensions for Microsoft Edge and Google Chrome and our Acrobat mobile offerings continue to accelerate free-to-paid conversion.,David Wadhwani,executive,prepared_remarks,"70% MAU growth and surpassing 100 million web users is a concrete, well-quantified acquisition tailwind for Document Cloud, driven partly by third-party browser distribution deals (external) and partly by Adobe's own product/go-to-market work (internal)."
M009,FY24Q1,C21,Emerging markets demand strength,Emerging markets growth opportunity,Creative Cloud,tailwind,mild,long,both,medium,"we again saw strength in emerging markets, which we continue to believe is a massive growth opportunity",Daniel J. Durn,CFO,prepared_remarks,"Cited repeatedly as a growth driver for Creative Cloud but without specific figures, indicating a real but not fully substantiated positive contributor tied to broader emerging-market digitization trends."
M010,FY24Q1,C09,Core product demand & go-to-market execution (non-AI-specific),Single-app/imaging & photography demand and Stock/Frame.io growth,Creative Cloud,tailwind,mild,medium,false,medium,"strong single app customer demand in Creative categories such as imaging and photography, and continued growth of Stock and Frame.io",Daniel J. Durn,CFO,prepared_remarks,"Listed as one of several Q1 Creative growth drivers; incremental and product-specific rather than broad-based, so treated as a mild but genuine tailwind."
