term,meaning,occurrence_count,chapters,source_files,is_aristotelian,genus,differentia,reason,suggested_genus,suggested_differentia,classification_error
accounting equation,Assets=Liabilities+Owner’sEquity | assets=liabilities+owner’s equity,2,Economic Basis for Accrual Accounting; The Balance Sheet,osbooks-principles-finance\modules\m00026\index.cnxml; osbooks-principles-finance\modules\m00032\index.cnxml,no,,,not a category,a fundamental equation in accounting,"that shows the relationship between assets, liabilities, and owner's equity",
accounts receivable aging schedule,"a report that shows amounts owed by customers by the age of the account, as measured by the number of days since the sale",1,Receivables Management,osbooks-principles-finance\modules\m00123\index.cnxml,yes,a report,"that shows amounts owed by customers by the age of the account, as measured by the number of days since the sale",,,,
accounts receivable turnover ratio,measures how many times in a period (usually a year) a company will collect cash from accounts receivable,1,Operating Efficiency Ratios,osbooks-principles-finance\modules\m00041\index.cnxml,no,,,no genus stated,a financial ratio,that measures how many times in a period (usually a year) a company will collect cash from accounts receivable,
accrual basis,"accounting system in which revenue is recorded or recognized when earned yet not necessarily received, and in which expenses are recorded when legally incurred and not necessarily when paid",1,The Statement of Cash Flows,osbooks-principles-finance\modules\m00035\index.cnxml,yes,accounting system,"in which revenue is recorded or recognized when earned yet not necessarily received, and in which expenses are recorded when legally incurred and not necessarily when paid",,,,
accrual-basis accounting,"an accounting system in which revenue is recorded or recognized when earned yet not necessarily received, and in which expenses are recorded when legally incurred and not necessarily when paid",1,Cash versus Accrual Accounting,osbooks-principles-finance\modules\m00025\index.cnxml,yes,an accounting system,"in which revenue is recorded or recognized when earned yet not necessarily received, and in which expenses are recorded when legally incurred and not necessarily when paid",,,,
after-tax cost of debt,the net cost of interest on a company’s debt after taxes; the firm’s effective cost of debt,1,The Costs of Debt and Equity Capital,osbooks-principles-finance\modules\m00107\index.cnxml,no,,,circular,cost of debt,that is net of taxes,
agency theory,"a principle that is used to explain and resolve issues in the relationship between business principals and their agents, most commonly between shareholders (principals) and company executives (agents)",1,Agency Issues: Shareholders and Corporate Boards,osbooks-principles-finance\modules\m00014\index.cnxml,yes,a principle,"that is used to explain and resolve issues in the relationship between business principals and their agents, most commonly between shareholders (principals) and company executives (agents)",,,,
agent,a person who acts on behalf of another person or group,1,Agency Issues: Shareholders and Corporate Boards,osbooks-principles-finance\modules\m00014\index.cnxml,yes,a person,who acts on behalf of another person or group,,,,
allowance for doubtful accounts,an account that contains the estimated amount of accounts receivable that will not be collected,1,Receivables Management,osbooks-principles-finance\modules\m00123\index.cnxml,yes,an account,that contains the estimated amount of accounts receivable that will not be collected,,,,
American option,an option that the holder can exercise at any time up to and including the exercise date,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,an option,that the holder can exercise at any time up to and including the exercise date,,,,
amortization,"the process of spreading business costs in accounting; similar to depreciation, but differs in that it generally refers to intangible assets such as patents or copyrights",1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,the process of spreading business costs in accounting,"similar to depreciation, but differs in that it generally refers to intangible assets such as patents or copyrights",,,,
annual meeting,a meeting of the general membership and shareholders of a corporation; also known as an annual general meeting (AGM),1,"Interacting with Investors, Intermediaries, and Other Market Participants",osbooks-principles-finance\modules\m00015\index.cnxml,yes,a meeting,of the general membership and shareholders of a corporation,,,,
annual report,a document describing a public corporation’s operations and financial condition that must be provided to shareholders once per year; also known as Securities and Exchange Commission (SEC) Form 10-K,1,"Interacting with Investors, Intermediaries, and Other Market Participants",osbooks-principles-finance\modules\m00015\index.cnxml,yes,a document,describing a public corporation’s operations and financial condition that must be provided to shareholders once per year,,,,
annuity,"a stream of regular, periodic payments to be received or paid",1,Annuities,osbooks-principles-finance\modules\m00053\index.cnxml,yes,"a stream of regular, periodic payments",to be received or paid,,,,
annuity due,a stream of periodic payments in which the payment or receipt occurs at the beginning of each period,1,Annuities,osbooks-principles-finance\modules\m00053\index.cnxml,yes,a stream of periodic payments,in which the payment or receipt occurs at the beginning of each period,,,,
appreciate,when one unit of a currency will purchase more of a foreign currency than it did previously,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,no,,,no genus stated,a change in currency value,where one unit of a currency will purchase more of a foreign currency than it did previously,
arithmetic average return,the sum of an asset’s annual returns over a number of years divided by the number of years,1,Risk and Return to an Individual Asset,osbooks-principles-finance\modules\m00093\index.cnxml,yes,the sum of an asset’s annual returns over a number of years,divided by the number of years,,,,
arithmetic mean,"a measure of center of a data set, calculated by adding up the data values and dividing the sum by the number of data values",1,Measures of Center,osbooks-principles-finance\modules\m00078\index.cnxml,yes,a measure of center of a data set,calculated by adding up the data values and dividing the sum by the number of data values,,,,
articles of incorporation,a set of formal documents filed with a government body to legally document the creation of a corporation,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a set of formal documents,filed with a government body to legally document the creation of a corporation,,,,
assets,"tangible or intangible resources owned or controlled by a company, individual, or other entity with the intent that they will provide economic value",1,The Balance Sheet,osbooks-principles-finance\modules\m00032\index.cnxml,yes,tangible or intangible resources,"owned or controlled by a company, individual, or other entity with the intent that they will provide economic value",,,,
